,ProjectedRevenue,ActualRevenue,Residuals,StandardizedResiduals,StudentizedResiduals,CooksDistance,Leverage
0,1381990,503700,348186.65473662736,0.3518572238406677,0.33738669284520895,0.00822665746232353,0.11730848325115956
1,6707388,3982499,-912526.0549440887,-0.9019959118959892,-0.8937048899815379,0.034142279409888,0.07743056555310598
2,3918305,2343829,-68960.63558737189,-0.06864812798332237,-0.06546744697570894,0.00023410415796238835,0.09037420562337582
3,33929121,30000904,879009.4582491107,2.299247606489269,3.0418383472278037,17.420300935225796,0.868255266434982
4,1799035,1381306,854629.8494469956,0.8609994618573438,0.8500747962744655,0.04669701582208245,0.11188744875507653
5,2234080,1450818,536959.3568449316,0.5393728497386578,0.5212103876245985,0.017365249762639586,0.1066486065714089
6,4810657,4209130,1002162.5859335354,0.9943245927059751,0.9937623516122951,0.04552869307263927,0.08433279204164781
7,5453460,3830710,51659.08240611944,0.051164498814671604,0.04878924135208506,0.0001155032877782657,0.08108872534773194
8,9654151,5166357,-2351235.9351577125,-2.3308084783792595,-3.1237986668231823,0.24499237361575682,0.08273061998865375
9,5254625,4523906,921814.7783376472,0.9134389327433869,0.9059670101014862,0.037261501584575876,0.08199309141803784
10,13212889,9741988,-942819.9344283268,-0.9515815777690653,-0.9471173247036321,0.05890327496285873,0.11512257652690784
11,3635413,2752702,591681.3301453292,0.5897423398196726,0.5714030728705184,0.017759501612814945,0.0926626935810028
12,3945338,1526288,-910560.5359827597,-0.9063299108615572,-0.89834470511353,0.0407021715238489,0.09016492490690921
